--------- beginning of /dev/log/system
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.123 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram9'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MINOR=9'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram9'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.123 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop0'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'MINOR=0'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop0'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.123 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.123 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop1'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MINOR=1'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop1'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.124 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop2'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MINOR=2'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop2'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.124 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop3'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MINOR=3'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop3'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.124 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop4'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MINOR=4'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop4'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.124 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop5'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'MINOR=5'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop5'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.124 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.124 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop6'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MINOR=6'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop6'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.125 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/loop7'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MAJOR=7'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MINOR=7'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVNAME=loop7'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.125 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram10'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MINOR=10'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram10'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.125 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram11'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MINOR=11'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram11'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.125 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram12'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'MINOR=12'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram12'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.125 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.125 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram13'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MINOR=13'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram13'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.126 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram14'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MINOR=14'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram14'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.126 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/ram15'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MAJOR=1'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MINOR=15'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVNAME=ram15'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.126 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/virtual/block/zram0'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MAJOR=254'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MINOR=0'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVNAME=zram0'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.126 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0rpmb'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MAJOR=179'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'MINOR=24'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVNAME=mmcblk0rpmb'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'DEVTYPE=disk'
01-01 08:00:03.126 D/NetlinkEvent( 1568): NL param 'NPARTS=0'
01-01 08:00:03.126 D/DirVolume( 1568): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:03.127 D/NetlinkEvent( 1568): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot0'
