--------- beginning of /dev/log/system
01-01 08:00:02.570 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.570 D/NetlinkEvent( 1569): NL param 'MINOR=24'
01-01 08:00:02.570 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0rpmb'
01-01 08:00:02.570 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.570 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.570 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot0'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MINOR=8'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0boot0'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.571 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0boot1'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MINOR=16'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0boot1'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'NPARTS=0'
01-01 08:00:02.571 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVTYPE=disk'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'NPARTS=20'
01-01 08:00:02.571 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p1'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'MINOR=1'
01-01 08:00:02.571 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p1'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTN=1'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTNAME=fastboot'
01-01 08:00:02.572 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p2'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MINOR=2'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p2'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTN=2'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTNAME=bootargs'
01-01 08:00:02.572 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p3'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MINOR=3'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p3'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTN=3'
